",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"49,49,MEM,Sergei Lishouk\lishcse01,,,,,,,,,,,,,,,,,,"
"50,50,DAL,Vassilis Spanoulis\spanova01,,1,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-.010,-6.7,-0.3"
"51,51,NJN,Christian Drejer,University of Florida,,,,,,,,,,,,,,,,,"
"52,52,SAS,Romain Sato,Xavier University,,,,,,,,,,,,,,,,,"
"53,53,MIA,Matt Freije\freijma01,Vanderbilt University,2,42,588,133,85,27,.293,.224,.714,14.0,3.2,2.0,0.6,-0.6,-.047,-6.3,-0.6"
"54,54,DET,Rickey Paulding,University of Missouri,,,,,,,,,,,,,,,,,"
"55,55,HOU,Luis Flores\florelu01,Manhattan College,1,16,77,35,3,11,.483,.500,1.000,4.8,2.2,0.2,0.7,0.0,-.020,-9.6,-0.1"
"56,56,LAL,Marcus Douthit,Providence College,,,,,,,,,,,,,,,,,"
"57,57,SAS,Sergei Karaulov\karause01,,,,,,,,,,,,,,,,,,"
"58,58,MIN,Blake Stepp,Gonzaga University,,,,,,,,,,,,,,,,,"
"59,59,IND,Rashad Wright,University of Georgia,,,,,,,,,,,,,,,,,"
